Cargando STEP...
Solidos: 1392
Solidos PTZ (z_centro > 40): 167
PTZ extension global mm: x[-51.2,37.7] y[-19.3,19.3] z[47.5,167.9]

    #       cx       cy       cz |      dx      dy      dz |   vol_cm3
  119    -41.1      2.4    133.9 |     0.5     1.0     0.5 |      0.00
  120    -41.1     -0.6    134.0 |     0.5     1.0     0.5 |      0.00
  121    -43.3     -4.1    134.0 |     0.5     1.0     0.5 |      0.00
  122    -47.0      0.6    134.1 |     8.0    22.0    13.2 |      0.33
  123    -51.2      0.6    134.1 |    12.6    14.0    14.0 |      1.41
  124    -43.3      5.2    134.6 |     0.5     0.5     1.0 |      0.00
  125    -41.1      2.4    134.9 |     0.5     1.0     0.5 |      0.00
  126    -43.3     -4.1    135.8 |     0.5     1.0     0.5 |      0.00
  127    -41.3      5.0    135.9 |     0.3     1.0     0.5 |      0.00
  128     13.7     19.3    136.0 |     6.0     7.1     6.0 |      0.10
  129      3.8     19.3    136.0 |     6.0     7.1     6.0 |      0.10
  130     13.7    -19.3    136.0 |     6.0     7.1     6.0 |      0.10
  131      3.8    -19.3    136.0 |     6.0     7.1     6.0 |      0.10
  132    -41.3      8.2    137.1 |     0.3     1.0     0.5 |      0.00
  133    -41.1      5.0    137.2 |     0.5     1.0     0.5 |      0.00
  134    -41.3     -5.0    138.2 |     0.3     1.0     0.5 |      0.00
  135    -41.3      8.3    138.3 |     0.3     1.0     0.5 |      0.00
  136    -43.3     -1.8    138.7 |     0.5     0.5     1.0 |      0.00
  137    -43.2     -0.7    138.7 |     0.3     0.5     1.0 |      0.00
  138    -43.2      0.4    138.7 |     0.3     0.5     1.0 |      0.00
  139    -43.3      2.2    138.8 |     0.5     0.5     1.0 |      0.00
  140    -17.1      0.8    139.4 |    40.6    34.6    44.0 |      3.42
  141    -40.9      5.4    140.0 |     1.1     3.0     2.5 |      0.00
  142    -17.1      1.0    140.3 |    79.9    38.0    45.9 |      8.05
  143    -36.8     11.0    140.9 |     4.2     3.9     3.9 |      0.02
  144    -39.4     11.0    140.9 |     4.0     3.0     3.5 |      0.02
  145    -42.1     11.0    140.9 |     4.2     3.9     3.9 |      0.02
  146    -39.4    -10.0    140.9 |     4.0     3.0     3.5 |      0.02
  147    -36.8     -9.5    140.9 |     4.2     3.9     3.9 |      0.02
  148    -42.1    -10.0    140.9 |     4.2     3.9     3.9 |      0.02
  149    -41.6     -0.5    141.0 |     0.2     0.3     0.3 |      0.00
  150    -41.1      2.3    141.2 |     0.5     1.0     0.5 |      0.00
  151    -41.3     -5.0    141.2 |     0.3     1.0     0.5 |      0.00
  152      0.4     16.2    141.3 |     3.6     6.2     3.6 |      0.02
  153      0.4    -14.6    141.3 |     3.6     6.2     3.6 |      0.02
  154    -24.0     16.2    141.3 |     3.6     6.2     3.6 |      0.02
  155    -20.3    -14.6    141.3 |     3.6     6.2     3.6 |      0.02
  156     -6.6     16.0    148.2 |     4.0     8.0     4.0 |      0.04
  157    -26.6     16.0    148.2 |     4.0     8.0     4.0 |      0.04
  158     -6.6    -14.0    148.2 |     4.0     8.0     4.0 |      0.04
  159    -26.6    -14.0    148.2 |     4.0     8.0     4.0 |      0.04
  160    -45.5      0.8    152.1 |     3.9    11.9    11.9 |      0.25
  161    -30.8      0.8    152.1 |    27.7    18.0    18.0 |      2.86
  162    -43.7      0.8    152.1 |     0.1    11.0    11.0 |      0.01
  163      7.6      1.0    160.0 |     7.8     7.8     3.5 |      0.09
  164      7.8      1.0    164.0 |     7.5     7.5    10.0 |      0.17
  165    -32.4      1.0    164.0 |     7.5     7.5    10.0 |      0.17
  166    -12.4      1.0    167.9 |    57.2    21.1     9.3 |      7.42
OK
