idx,label,name,n_solids,vol_cm3,cx_mm,cy_mm,cz_mm,dx_mm,dy_mm,dz_mm
1243,GLASS002,Part__Feature1244,1,0.248,0.0,-0.0,7.48,11.91,11.91,3.9
249,User_Library-DS1066-04-6MSV002,Part__Feature249,1,0.209,8.23,49.75,2.64,7.4,16.0,6.5
252,User_Library-DS1066-04-6MSV006,Part__Feature252,1,0.209,8.23,30.25,2.64,7.4,16.0,6.5
436,User_Library-DS1066-04-6MSV010,Part__Feature436,1,0.209,15.17,30.25,2.64,7.4,16.0,6.5
439,User_Library-DS1066-04-6MSV014,Part__Feature439,1,0.209,15.17,49.76,2.64,7.4,16.0,6.5
1211,黑色金属杯头内六角螺丝M4_5 v1,Part__Feature1212,1,0.207,85.5,87.68,-41.21,7.77,9.0,7.77
1212,黑色金属杯头内六角螺丝M4_5 v001,Part__Feature1213,1,0.207,0.0,88.68,-41.21,7.81,9.0,7.81
1213,黑色金属杯头内六角螺丝M4_5 v002,Part__Feature1214,1,0.207,-85.5,87.68,-41.21,7.77,9.0,7.77
1214,黑色金属杯头内六角螺丝M4_5 v003,Part__Feature1215,1,0.207,-85.5,-87.68,-41.21,7.77,9.0,7.77
1215,黑色金属杯头内六角螺丝M4_5 v004,Part__Feature1216,1,0.207,85.5,-87.68,-41.21,7.77,9.0,7.77
1216,黑色金属杯头内六角螺丝M4_5 v005,Part__Feature1217,1,0.207,-0.0,-88.68,-41.21,7.81,9.0,7.81
1111,"Camera Connector, RPi4ModelB015",Part__Feature1112,1,0.175,3.97,2.95,16.5,3.0,5.3,20.6
1133,"Display Connector, RPi4ModelB015",Part__Feature1134,1,0.175,-38.47,2.95,-0.0,3.0,5.3,20.6
1276,黑色金属内六角螺丝 KM4*10 v2,Part__Feature1277,1,0.174,1.02,32.35,165.09,7.5,7.5,10.0
1277,黑色金属内六角螺丝 KM4*10 v001,Part__Feature1278,1,0.174,1.02,-7.84,165.09,7.5,7.5,10.0
1038,六角铜柱 M2.5-M1.4*12 v2,Part__Feature1039,1,0.173,29.38,24.5,15.88,4.6,5.31,12.0
1039,六角铜柱 M2.5-M1.4*12 v001,Part__Feature1040,1,0.173,-28.62,24.5,15.88,4.6,5.31,12.0
1040,六角铜柱 M2.5-M1.4*12 v002,Part__Feature1041,1,0.173,29.38,-24.5,15.88,4.6,5.31,12.0
1041,六角铜柱 M2.5-M1.4*12 v003,Part__Feature1042,1,0.173,-28.62,-24.5,15.88,4.6,5.31,12.0
1168,六角铜柱 M2.5*11+3 v2,Part__Feature1169,1,0.168,-28.62,24.5,-16.32,4.6,5.31,14.0
1169,六角铜柱 M2.5*11+3 v001,Part__Feature1170,1,0.168,-28.62,-24.5,-16.32,4.6,5.31,14.0
1170,六角铜柱 M2.5*11+3 v002,Part__Feature1171,1,0.168,29.38,-24.5,-16.32,4.6,5.31,14.0
1171,六角铜柱 M2.5*11+3 v003,Part__Feature1172,1,0.168,29.38,24.5,-16.32,4.6,5.31,14.0
